Fout,Cv,track,density,g,
18.461470529009,5.4482443181161e-002,11.692512532695,1000.,9.82,
23.333991311198,6.8857135284365e-002,11.69415028797,1000.,9.82,
28.018850342189,7.4116378e-002,11.693868947389,1000.,9.82,
32.505659409297,7.4116378e-002,11.691762030958,1000.,9.82,
36.780643786751,7.4116378e-002,11.687885377798,1000.,9.82,
40.838791625617,7.4116378e-002,11.682358738886,1000.,9.82,
44.670319544939,7.4116378e-002,11.675255030484,1000.,9.82,
48.266595699763,7.4116378e-002,11.666653816592,1000.,9.82,
51.626230555643,7.4116378e-002,11.656672632721,1000.,9.82,
54.742203388225,7.4116378e-002,11.645389771518,1000.,9.82,
57.613593473649,7.4116378e-002,11.632912123739,1000.,9.82,
60.236330541441,7.4116378e-002,11.619326797824,1000.,9.82,
