t,L,Fin,Fout,Eps,S,Lsp,Cv,track,
328.,6.5583944430587,25.,-36.892448407368,3.333944430574e-002,1.9560777722296,6.225,0.,11.558394443057,
332.,6.5819965126184,25.,-31.117005134504,3.5699651267211e-002,2.0504860506884,6.225,0.,11.581996512672,
336.,6.6032747079516,25.,-25.334053801542,3.7827470857241e-002,2.1355988342896,6.225,0.,11.603274708572,
340.,6.6222541093428,25.,-19.568261317313,3.9725411142121e-002,2.2115164456848,6.225,0.,11.622254111421,
344.,6.6389467962323,25.,-13.843037453417,4.1394679624216e-002,2.2782871849686,6.225,0.,11.638946796242,
348.,6.653347686013,25.,-8.181681755207,4.2834768617334e-002,2.3358907446933,6.225,0.,11.653347686173,
352.,6.6655008573831,25.,-2.6054630951361,4.4050085765143e-002,2.3845034306057,6.225,0.,11.665500857651,
356.,6.6754476885161,25.,2.8655080497277,4.5044768855447e-002,2.4242907542179,6.225,8.4627016110188e-003,11.675447688554,
360.,6.6832279854049,25.,8.2118924110398,4.5822798542918e-002,2.4554119417167,6.225,2.4244100463424e-002,11.683227985429,
364.,6.6888931834021,25.,13.415769470177,4.638931843143e-002,2.4780727372572,6.225,3.9597978080399e-002,11.688893184314,
368.,6.6925125314785,25.,18.461470529009,4.6751253269461e-002,2.4925501307784,6.225,5.4482443181161e-002,11.692512532695,
372.,6.6941502878251,25.,23.333991311198,4.6915028797042e-002,2.4991011518817,6.225,6.8857135284365e-002,11.69415028797,
376.,6.6938689452064,25.,28.018850342189,4.6886894738878e-002,2.4979757895551,6.225,7.4116378e-002,11.693868947389,
380.,6.6917620306131,25.,32.505659409297,4.6676203095816e-002,2.4895481238326,6.225,7.4116378e-002,11.691762030958,
384.,6.6878853682558,25.,36.780643786751,4.6288537779832e-002,2.4740415111933,6.225,7.4116378e-002,11.687885377798,
388.,6.6823587358843,25.,40.838791625617,4.5735873888581e-002,2.4519349555432,6.225,7.4116378e-002,11.682358738886,
392.,6.6752550303162,25.,44.670319544939,4.5025503048447e-002,2.4235201219379,6.225,7.4116378e-002,11.675255030484,
396.,6.6666538130384,25.,48.266595699763,4.4165381659249e-002,2.38911526637,6.225,7.4116378e-002,11.666653816592,
400.,6.6566726324159,25.,51.626230555643,4.3167263272092e-002,2.3491905308837,6.225,7.4116378e-002,11.656672632721,
404.,6.6453897669865,25.,54.742203388225,4.2038977151791e-002,2.3040590860716,6.225,7.4116378e-002,11.645389771518,
408.,6.6329121237309,25.,57.613593473649,4.0791212373903e-002,2.2541484949561,6.225,7.4116378e-002,11.632912123739,
412.,6.6193267880296,25.,60.236330541441,3.9432679782364e-002,2.1998071912945,6.225,7.4116378e-002,11.619326797824,
416.,6.6047520394115,25.,62.614760604934,3.7975204119493e-002,2.1415081647797,6.225,7.4116378e-002,11.604752041195,
420.,6.5892739980443,25.,64.746771559578,3.642739980496e-002,2.0795959921984,6.225,7.4116378e-002,11.58927399805,
424.,6.5729865635465,25.,66.63258170918,3.4798656748398e-002,2.0144462699359,6.225,7.4116378e-002,11.572986567484,
428.,6.5559990992624,25.,68.278929137525,3.309990993392e-002,1.9464963973568,6.225,7.4116378e-002,11.555999099339,
432.,6.5383971973539,25.,69.685803232367,3.1339719862561e-002,1.8760887945024,6.225,7.4116378e-002,11.538397198626,
436.,6.5202798009071,25.,70.859339058202,2.9527980332985e-002,1.8036192133194,6.225,7.4116378e-002,11.52027980333,
440.,6.5017399201931,25.,71.805331663157,2.7673992134072e-002,1.7294596853629,6.225,7.4116378e-002,11.501739921341,
444.,6.4828661222291,25.,72.529019485061,2.5786612292284e-002,1.6539644916913,6.225,7.4116378e-002,11.482866122923,
448.,6.4637457558246,25.,73.036621717855,2.3874575662115e-002,1.5774830264846,6.225,7.4116378e-002,11.463745756621,
452.,6.444464548111,25.,73.336298595133,2.1946454814384e-002,1.5003581925753,6.225,7.4116378e-002,11.444464548144,
456.,6.4251037463824,25.,73.433814401276,2.0010375096389e-002,1.4229150038556,6.225,7.4116378e-002,11.425103750964,
460.,6.4057424490088,25.,73.340589892236,1.8074245000621e-002,1.3454698000248,6.225,7.4116378e-002,11.405742450006,
464.,6.3864555099729,25.,73.063034190479,1.6145550997286e-002,1.2683220398914,6.225,7.4116378e-002,11.386455509973,
468.,6.3673152434239,25.,72.610001661013,1.4231524411162e-002,1.1917609764465,6.225,7.4116378e-002,11.367315244112,
472.,6.3483909620446,25.,71.990370543131,1.2339096615322e-002,1.1160638646129,6.225,7.4116378e-002,11.348390966153,
476.,6.3297435003347,25.,71.215641537717,1.0474350081746e-002,1.0414740032698,6.225,7.4116378e-002,11.329743500817,
480.,6.311437361637,25.,70.293319085481,8.6437362286836e-003,0.96824944914735,6.225,7.4116378e-002,11.311437362287,
484.,6.2935266336661,25.,69.2342895466,6.852663367647e-003,0.89660653470588,6.225,7.4116378e-002,11.293526633676,
488.,6.276066214911,25.,68.047727363959,5.106621494342e-003,0.82676485977368,6.225,7.4116378e-002,11.276066214943,
492.,6.2591056097908,25.,66.743521113886,3.4105610909375e-003,0.7589224436375,6.225,7.4116378e-002,11.259105610909,
496.,6.2426854879424,25.,65.332397294805,1.7685488063549e-003,0.6932419522542,6.225,7.4116378e-002,11.242685488064,
500.,6.2268514091109,25.,63.82333544377,1.8514093100318e-004,0.62990563724013,6.225,7.4116378e-002,11.22685140931,
504.,6.2116426014303,25.,62.225995523455,-1.3357396273636e-003,0.56907041490546,6.225,7.4116378e-002,11.211642603726,
508.,6.1970805159288,25.,60.55145793463,-2.7919484040796e-003,0.51082206383681,6.225,7.4116378e-002,11.197080515959,
512.,6.1832091106424,25.,58.807638489852,-4.1790888592503e-003,0.45533644562999,6.225,7.4116378e-002,11.183209111407,
516.,6.1700428769283,25.,57.005016542535,-5.495712274371e-003,0.40267150902516,6.225,7.4116378e-002,11.170042877256,
520.,6.1576109027915,25.,55.152219805789,-6.7389096921611e-003,0.35294361231356,6.225,7.4116378e-002,11.157610903078,
524.,6.1459280388318,25.,53.258511800233,-7.9071960852744e-003,0.30621215658902,6.225,7.4116378e-002,11.145928039147,
528.,6.1350087300901,25.,51.332653229338,-8.9991269660779e-003,0.26253492135689,6.225,7.4116378e-002,11.135008730339,
532.,6.1248652363589,25.,49.383127178031,-1.0013476343474e-002,0.22196094626105,6.225,7.4116378e-002,11.124865236565,
536.,6.1155023864607,25.,47.418231600212,-1.0949761283866e-002,0.18450954864535,6.225,7.4116378e-002,11.115502387161,
540.,6.1069288801257,25.,45.445861711248,-1.1807111987427e-002,0.15021552050293,6.225,7.4116378e-002,11.106928880126,
544.,6.0991482417159,25.,43.473758408289,-1.2585175834816e-002,0.11909296660734,6.225,7.4116378e-002,11.099148241652,
548.,6.0921489041768,25.,41.509188085515,-1.3285109582575e-002,9.1095616697003e-002,6.225,7.4116378e-002,11.092148904174,
552.,6.0859358357455,25.,39.559275400616,-1.3906416447885e-002,6.6243342084602e-002,6.225,7.4116378e-002,11.085935835521,
556.,6.0805007866374,25.,37.630759293713,-1.4449921377529e-002,4.4503144898824e-002,6.225,7.4116378e-002,11.080500786225,
560.,6.0758291454918,25.,35.729831605061,-1.4917085474968e-002,2.5816581001266e-002,6.225,7.4116378e-002,11.07582914525,
564.,6.0719120171499,25.,33.862603210117,-1.5308798304747e-002,1.0148067810108e-002,6.225,7.4116378e-002,11.071912016953,
568.,6.0687334708897,25.,32.034652589943,-1.5626653086713e-002,-2.5661234685396e-003,6.225,7.4116378e-002,11.068733469133,
572.,6.0662770130213,25.,30.251267257731,-1.5872298699938e-002,-1.2391947997501e-002,6.225,7.4116378e-002,11.066277013001,
576.,6.0645262818377,25.,28.517549850963,-1.6047371847656e-002,-1.9394873906245e-002,6.225,7.4116378e-002,11.064526281523,
580.,6.0634555584994,25.,26.837666014188,-1.615444418641e-002,-2.3677767456417e-002,6.225,7.4116378e-002,11.063455558136,
584.,6.063046851113,25.,25.21615392513,-1.6195314888981e-002,-2.5312595559255e-002,6.225,7.4116378e-002,11.06304685111,
588.,6.0632756952555,25.,23.656828558046,-1.6172430523728e-002,-2.4397220949132e-002,6.225,7.1772638879819e-002,11.063275694763,
592.,6.0641127759262,25.,22.16272234405,-1.6088722407818e-002,-2.1048896312725e-002,6.225,6.7237114156463e-002,11.064112775922,
596.,6.0655371968161,25.,20.737592981651,-1.5946280425402e-002,-1.5351217016087e-002,6.225,6.2909519564069e-002,11.065537195746,
600.,6.0675141503292,25.,19.3833124013,-1.5748584997253e-002,-7.4433998901292e-003,6.225,5.8795923678149e-002,11.067514150027,
604.,6.0700186907843,25.,18.102726182831,-1.5498130931402e-002,2.5747627439143e-003,6.225,5.4905273830937e-002,11.070018690686,
608.,6.0730243920796,25.,16.898420535564,-1.5197561137719e-002,1.4597554491247e-002,6.225,5.1245685100296e-002,11.073024388623,
612.,6.0764910435077,25.,15.770486187872,-1.4850896113069e-002,2.846415547722e-002,6.225,4.7817653501993e-002,11.076491038869,
616.,6.0803968887073,25.,14.72182593072,-1.4460311321177e-002,4.4087547152907e-002,6.225,4.4630149897364e-002,11.080396886788,
620.,6.0847023876059,25.,13.751902775491,-1.4029761239405e-002,6.1309550423784e-002,6.225,4.1681662307574e-002,11.084702387606,
624.,6.089382469081,25.,12.862747579909,-1.356175310707e-002,8.002987571719e-002,6.225,3.8978429227652e-002,11.089382468929,
628.,6.0944015759126,25.,12.053977808456,-1.3059842410323e-002,0.1001063035871,6.225,3.6519321959377e-002,11.094401575897,
632.,6.099729540887,25.,11.326157617315,-1.2527046322999e-002,0.12141814708003,6.225,3.4306050327261e-002,11.09972953677,
636.,6.1053306842557,25.,10.678013263473,-1.1966931609603e-002,0.14382273561587,6.225,3.233471153409e-002,11.105330683904,
640.,6.1111753545194,25.,10.109596826148,-1.1382464680197e-002,0.16720141279211,6.225,3.0605402278561e-002,11.111175353198,
644.,6.1172320496972,25.,9.6201807481314,-1.077679503827e-002,0.19142819846919,6.225,2.9115828701325e-002,11.117232049617,
648.,6.123468877519,25.,9.2084554325203,-1.0153112249005e-002,0.2163755100398,6.225,2.7861912658671e-002,11.12346887751,
652.,6.1298550950967,25.,8.8730911774168,-9.5144904917946e-003,0.24192038032822,6.225,2.6839501627338e-002,11.129855095082,
656.,6.136360438772,25.,8.6124679291085,-8.8639561240657e-003,0.26794175503737,6.225,2.6043553169552e-002,11.136360438759,
660.,6.1429553814913,25.,8.4247680365176,-8.204461851029e-003,0.29432152595884,6.225,2.5468420555216e-002,11.14295538149,
664.,6.1496113244051,25.,8.3083110499778,-7.5388676863655e-003,0.32094529254538,6.225,2.5108869124944e-002,11.149611323136,
668.,6.1562998597015,25.,8.259953887453,-6.8700140556177e-003,0.34769943777529,6.225,2.4955242273911e-002,11.156299859444,
672.,6.1629944076374,25.,8.2781142216049,-6.2005592741821e-003,0.37447762903272,6.225,2.5002608074604e-002,11.162994407258,
676.,6.1696687660366,25.,8.3600779860376,-5.5331236863821e-003,0.40117505254471,6.225,2.5242619491386e-002,11.169668763136,
680.,6.1762984994779,25.,8.5025488739141,-4.870150053904e-003,0.42769399784384,6.225,2.5665184767657e-002,11.176298499461,
684.,6.1828592086444,25.,8.7034138580246,-4.2140791364468e-003,0.45393683454213,6.225,2.6263793900231e-002,11.182859208636,
688.,6.1893278184696,25.,8.9597027225002,-3.5672183084811e-003,0.47981126766076,6.225,2.7029363229879e-002,11.189327816915,
