t,Ws,Wz,
16.,30.,54.620610240334,
16.1,30.,54.686676182983,
16.2,30.,54.749237212514,
16.3,30.,54.808479270662,
16.4,30.,54.864578434628,
16.5,30.,54.917701440414,
16.6,30.,54.968006178385,
16.7,30.,55.015642162548,
16.8,30.,55.060750974933,
16.9,30.,55.103466686397,
17.,30.,55.143916255102,
17.1,30.,55.182219903864,
17.2,30.,55.218491477465,
17.3,30.,55.252838781026,
17.4,30.,55.285363900418,
17.5,30.,55.316163505679,
17.6,30.,55.345329138334,
17.7,30.,55.37294748347,
17.8,30.,55.399100627379,
17.9,30.,55.423866301536,
18.,30.,55.447318113622,
18.1,30.,55.469525766304,
18.2,30.,55.490555264401,
18.3,30.,55.510469111063,
18.4,30.,55.529326493539,
18.5,30.,55.547183459089,
18.6,30.,55.564093081571,
18.7,30.,55.580105619182,
18.8,30.,55.595268663833,
18.9,30.,55.609627282604,
19.,30.,55.623224151686,
19.1,30.,55.636099683223,
19.2,30.,55.648292145428,
19.3,30.,55.659837776315,
19.4,30.,55.670770891411,
19.5,30.,55.681123985743,
19.6,30.,55.690927830421,
19.7,30.,55.700211564095,
19.8,30.,55.709002779556,
19.9,30.,55.717327605753,
20.,30.,55.725210785447,
20.1,30.,52.985059243854,
20.2,30.,41.104913185996,
20.3,23.226155518995,23.226155518995,
20.4,6.2123407688777,6.2123407688777,
20.5,0.,-4.4029415284944,
20.6,0.,-6.4928563919342,
20.7,0.,-1.4104436229177,
20.8,7.2680429459672,7.2680429459672,
20.9,15.520642870806,15.520642870806,
21.,20.412166138554,20.412166138554,
21.1,20.888861601215,20.888861601215,
21.2,17.720786627423,17.720786627423,
21.3,12.807845931162,12.807845931162,
21.4,8.24272173705,8.24272173705,
21.5,5.5203045657776,5.5203045657776,
21.6,5.1416283728374,5.1416283728374,
21.7,6.6628521964576,6.6628521964576,
21.8,9.0696829953859,9.0696829953859,
21.9,11.269148159567,11.269148159567,
22.,12.496582022203,12.496582022203,
22.1,12.512290621099,12.512290621099,
22.2,11.5660999615,11.5660999615,
22.3,10.195687833129,10.195687833129,
22.4,8.968689333368,8.968689333368,
22.5,8.2733525955702,8.2733525955702,
22.6,8.221177348439,8.221177348439,
22.7,8.6705162436213,8.6705162436213,
22.8,9.3349649728715,9.3349649728715,
22.9,9.9184639687358,9.9184639687358,
23.,10.222848531409,10.222848531409,
23.1,10.195854185664,10.195854185664,
23.2,9.9161402539764,9.9161402539764,
23.3,9.5351210433817,9.5351210433817,
23.4,9.2062395238167,9.2062395238167,
23.5,9.0297608669667,9.0297608669667,
23.6,9.0291900778017,9.0291900778017,
23.7,9.1604557039873,9.1604557039873,
23.8,9.3430666358266,9.3430666358266,
23.9,9.4970983490127,9.4970983490127,
24.,9.571493551676,9.571493551676,
24.1,9.5555880067095,9.5555880067095,
24.2,9.4736050568688,9.4736050568688,
24.3,9.3679887309469,9.3679887309469,
24.4,9.2800743853895,9.2800743853895,
24.5,9.2355937164345,9.2355937164345,
24.6,9.2390680992083,9.2390680992083,
24.7,9.2770473048307,9.2770473048307,
24.8,9.3270093558776,9.3270093558776,
24.9,9.3674513631216,9.3674513631216,
25.,9.3853029093016,9.3853029093016,
25.1,9.3786352948626,9.3786352948626,
25.2,9.3547810005576,9.3547810005576,
25.3,9.3255866108365,9.3255866108365,
25.4,9.302148149755,9.302148149755,
25.5,9.2910230573636,9.2910230573636,
25.6,9.2929292781017,9.2929292781017,
25.7,9.3038239836344,9.3038239836344,
25.8,9.3174313819853,9.3174313819853,
25.9,9.3279864128544,9.3279864128544,
26.,9.3321672700476,9.3321672700476,
26.1,9.3297144102864,9.3297144102864,
26.2,9.3228169520602,9.3228169520602,
26.3,9.3147679241023,9.3147679241023,
26.4,9.308535206952,9.308535206952,
26.5,9.3057765869847,9.3057765869847,
26.6,9.3065478480335,9.3065478480335,
26.7,9.3096488003349,9.3096488003349,
26.8,9.3133375299424,9.3133375299424,
26.9,9.3160738805109,9.3160738805109,
27.,9.3170205719481,9.3170205719481,
27.1,9.316179041211,9.316179041211,
27.2,9.3141954345595,9.3141954345595,
27.3,9.3119815596708,9.3119815596708,
27.4,9.310328292096,9.310328292096,
