t,XA2,XB2,XC2,XD2,XE2,YA2,YB2,YC2,YD2,YE2,
15.,0.76913522959053,0.23061578392995,2.3739908829797e-002,3.8544020958376e-004,-2.3876362559864e-002,0.8074289284587,0.1815752577349,1.2461126930014e-002,1.0115928177164e-004,0.61329138451202,
16.,0.764257014529,0.23282261519152,2.4122822700296e-002,3.9225156936891e-004,-2.1594703990185e-002,0.80474738382104,0.18386986029046,1.2700589525808e-002,1.0325969338582e-004,0.60807367431139,
17.,0.75979888630059,0.23485074202997,2.4482328281137e-002,3.9866990216446e-004,-1.9530626513868e-002,0.80227225799732,0.18598573868584,1.292559583924e-002,1.0524019380557e-004,0.60325568327843,
18.,0.75571989314141,0.23671875654171,2.4820089990632e-002,4.0472064373701e-004,-1.7663460317491e-002,0.7999850465906,0.1879393535156,1.3137065447505e-002,1.0710769145184e-004,0.59880151993605,
19.,0.75198214284317,0.2384441631035,2.5137751019645e-002,4.1042917113882e-004,-1.5974486137462e-002,0.79786797173229,0.18974651014391,1.3335930038563e-002,1.0886928231682e-004,0.5946766622675,
20.,0.74855076692033,0.24004325414813,2.543691167144e-002,4.1582044151148e-004,-1.4446753181411e-002,0.79590417375877,0.19142218017518,1.3523116129819e-002,1.1053210701477e-004,0.59084834534675,
21.,0.74539383709259,0.24153104496745,2.5719113016603e-002,4.2091871139643e-004,-1.3064913788045e-002,0.79407783804698,0.19298038399596,1.3699531404001e-002,1.1210323535895e-004,0.58728581941166,
22.,0.74248224541212,0.24292125544083,2.5985825128421e-002,4.2574732635301e-004,-1.1815073307716e-002,0.79237426817467,0.19443412370481,1.3866054255997e-002,1.1358957569899e-004,0.58396050063816,
23.,0.73978955823348,0.24422632784108,2.6238439180362e-002,4.3032857069855e-004,-1.0684653825613e-002,0.79077991592577,0.19579535640419,1.4023526121613e-002,1.1499780599749e-004,0.58084603559398,
24.,0.73729185286708,0.24545747130827,2.6478262731826e-002,4.3468356765399e-004,-9.6622704748268e-003,0.78928237765395,0.19707499882258,1.4172746163777e-002,1.1633432358466e-004,0.57791829834401,
25.,0.7349675443278,0.24662472506044,2.6706517590225e-002,4.3883222093985e-004,-8.7376191994069e-003,0.78787036532118,0.19828295539733,1.431446791477e-002,1.1760521064317e-004,0.57515533679843,
26.,0.73279720819838,0.24773703383322,2.6924339708095e-002,4.4279318979234e-004,-7.9013749294877e-003,0.78653365927645,0.19942816315698,1.4449397507865e-002,1.188162126883e-004,0.57253728239892,
27.,0.73076340434037,0.2488023303451,2.7132780647082e-002,4.4658389036168e-004,-7.1450992229076e-003,0.78526304862082,0.20051864791142,1.4578193172604e-002,1.1997272757898e-004,0.57004623480922,
28.,0.72885050504322,0.24982762073913,2.733281021186e-002,4.5022051744428e-004,-6.4611565116561e-003,0.78405026387724,0.20156158733485,1.4701465710944e-002,1.2107980289134e-004,0.56766613102855,
29.,0.72704453022117,0.25081906994172,2.7525319923516e-002,4.5371808144154e-004,-5.842638167851e-003,0.78288790568001,0.20256337748198,1.4819779713699e-002,1.2214213978548e-004,0.56538260634454,
30.,0.72533299144823,0.25178208470702,2.771112706203e-002,4.5709045630254e-004,-5.283293673581e-003,0.78176937233079,0.20352970009984,1.4933655316393e-002,1.2316410178229e-004,0.56318285281278,
31.,0.72370474595581,0.25272139279132,2.7890979060407e-002,4.6035043498024e-004,-4.7774682425256e-003,0.78068878833832,0.20446558878708,1.504357032956e-002,1.2414972713173e-004,0.56105547949455,
32.,0.72214986118921,0.25364111724175,2.8065558078782e-002,4.6350978960647e-004,-4.320046299349e-003,0.77964093545815,0.20537549261756,1.5149962610393e-002,1.2510274369076e-004,0.55899037748651,
33.,0.72065949011157,0.25454484520473,2.8235485625477e-002,4.6657933417143e-004,-3.9064002759479e-003,0.77862118726536,0.20626333629802,1.5253232570137e-002,1.2602658543722e-004,0.55697859181177,
34.,0.71922575713861,0.25543569098119,2.840132712439e-002,4.6956898798362e-004,-3.5323442321709e-003,0.77762544791148,0.2071325762852,1.5353745734976e-002,1.2692440992487e-004,0.55501220148138,
35.,0.7178416543661,0.25631635329371,2.8563596354581e-002,4.7248783859525e-004,-3.1940918529814e-003,0.77665009542303,0.20798625256087,1.5451835297748e-002,1.2779911613603e-004,0.55308420844827,
