t,c,w,R,Rate_c,Rate_w,
20.,1.,-1.1735113976016e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4789252219933e+029,
20.1,1.,-1.1737093978023e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4788757219431e+029,
20.2,1.,-1.1739025093606e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4788274440535e+029,
20.3,1.,-1.1740908529775e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4787803581493e+029,
20.4,1.,-1.174274546374e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4787344348002e+029,
20.5,1.,-1.1744537043643e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4786896453026e+029,
20.6,1.,-1.1746284389281e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4786459616617e+029,
20.7,1.,-1.1747988592802e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4786033565736e+029,
20.8,1.,-1.1749650719388e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.478561803409e+029,
20.9,1.,-1.1751271807922e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4785212761956e+029,
21.,1.,-1.1752852871637e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4784817496028e+029,
21.1,1.,-1.1754394898751e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4784431989249e+029,
21.2,1.,-1.1755898853079e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4784056000667e+029,
21.3,1.,-1.1757365674643e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4783689295276e+029,
21.4,1.,-1.1758796280253e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4783331643874e+029,
21.5,1.,-1.1760191564085e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4782982822916e+029,
21.6,1.,-1.1761552398236e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4782642614378e+029,
21.7,1.,-1.1762879633272e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4782310805619e+029,
21.8,1.,-1.1764174098759e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4781987189247e+029,
21.9,1.,-1.1765436603779e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4781671562992e+029,
