t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
31.,0.79977883123286,0.14882775086749,7.2202481666849e-003,3.0162857054906e-005,4.4142500705666e-002,0.1829152792895,0.19732022403545,0.19987787024822,0.19999949891346,0.21988712276356,
32.,0.8021387398075,0.15058301124322,7.333901862333e-003,3.0672456071337e-005,3.9913216946155e-002,0.18216564284756,0.19718010795503,0.19987105926402,0.19999947044399,0.22078371518971,
33.,0.80419241954045,0.15224432684275,7.4425589409235e-003,3.1160712591701e-005,3.6089120120649e-002,0.18141323956654,0.19703826095683,0.19986413779819,0.19999944148057,0.22168491630557,
34.,0.8059710844071,0.15381899129906,7.5465269597124e-003,3.1628824154311e-005,3.263139431051e-002,0.18065833647816,0.19689476442843,0.19985711018373,0.19999941204172,0.22259037334437,
35.,0.80750265063815,0.1553138865304,7.6461049551041e-003,3.2077967031589e-005,2.9504941556124e-002,0.17990117364841,0.19674969333477,0.19984998048108,0.19999938214491,0.22349976720095,
36.,0.80881208989203,0.15673548669187,7.7415823608874e-003,3.2509290570884e-005,2.6678025824368e-002,0.17914196700497,0.19660311657919,0.19984275248566,0.19999935180654,0.22441280923577,
37.,0.80992174436854,0.15808986585393,7.8332381793185e-003,3.2923912603571e-005,2.4121951053639e-002,0.17838091086419,0.19645509736075,0.19983542973628,0.19999932104202,0.22532923838222,
38.,0.81085160789098,0.15938270866894,7.9213403756517e-003,3.3322915813414e-005,2.1810770017648e-002,0.17761818018963,0.19630569352446,0.19982801552433,0.19999928986575,0.22624881852868,
39.,0.81161957658805,0.16061932337023,8.0061454680266e-003,3.3707344957878e-005,1.97210210603e-002,0.17685393261104,0.196154957902,0.19982051290341,0.19999925829117,0.22717133614913,
40.,0.81224167244226,0.1618046565298,8.0878982863348e-003,3.4078204840736e-005,1.7831490035473e-002,0.17608831022956,0.1960029386409,0.19981292469939,0.1999992263308,0.22809659815874,
41.,0.81273224263685,0.16294330907867,8.1668318756605e-003,3.4436458940336e-005,1.6122995040202e-002,0.17532144123208,0.19584967952076,0.1998052535206,0.19999919399626,0.22902442997308,
42.,0.81310413732768,0.16403955316671,8.2431675219887e-003,3.4783028604761e-005,1.4578191760205e-002,0.17455344133524,0.19569522025534,0.19979750176819,0.19999916129831,0.22995467375168,
43.,0.81336886818964,0.16509734950553,8.3171148800148e-003,3.5118792732394e-005,1.3181397455138e-002,0.17378441507751,0.19553959677991,0.19978967164637,0.19999912824689,0.23088718680831,
44.,0.81353674983612,0.1661203648979,8.3888721849975e-003,3.5444587863836e-005,1.1918431799575e-002,0.17301445697546,0.19538284152342,0.19978176517258,0.19999909485116,0.23182184017231,
45.,0.81361702598397,0.16711198971092,8.4586265326269e-003,3.5761208618473e-005,1.0776472966253e-002,0.17224365255906,0.19522498366541,0.19977378418751,0.19999906111954,0.23275851728646,
46.,0.81361798203326,0.16807535509678,8.5265542128032e-003,3.6069408416053e-005,9.7439274924813e-003,0.17147207929864,0.19506604937758,0.1997657303648,0.19999902705973,0.23369711282858,
47.,0.81354704554862,0.16901334980648,8.5928210850078e-003,3.636990043039e-005,8.8103126101374e-003,0.17069980743536,0.19490606205047,0.19975760522051,0.19999899267875,0.23463753164503,
48.,0.81341087596603,0.16992863647658,8.6575829845959e-003,3.6663358728604e-005,7.9661498459506e-003,0.16992690072532,0.19474504250533,0.19974941012223,0.199998957983,0.23557968778545,
49.,0.81321544470284,0.17082366729944,8.7209861508418e-003,3.6950419555129e-005,7.2028688129367e-003,0.1691534171066,0.19458300919196,0.19974114629785,0.19999892297826,0.23652350362921,
