t,TR,TC,TW,W,Ws,_EPS,PR,
28.2,40.002539531081,40.001841851989,40.002015710854,250.,9.311861564264,4.5573121711227,-2.7627779813823e-003,
28.5,40.00049978093,40.001862846468,40.001630885567,250.,9.310651955693,4.5567231126976,-2.7942697024293e-003,
28.8,40.000085027634,40.000902316849,40.000623821983,250.,9.3112569645956,4.5563052199352,-1.3534752746353e-003,
29.1,40.000765264756,40.000554275681,40.000571278908,250.,9.3113886867784,4.5561100501496,-8.3141352064305e-004,
29.4,40.000349263319,40.00061147003,40.00058247683,250.,9.3109448937185,4.555931049382,-9.1720504562944e-004,
29.7,40.000006071064,40.000368992391,40.000269293729,250.,9.3110034008238,4.5557784447054,-5.5348858685095e-004,
30.,40.000196120923,40.000184892445,40.000168446457,250.,9.311126698727,4.5557020186974,-2.7733866770183e-004,
30.3,40.000162965961,40.000190732046,40.000191814082,250.,9.3110077234691,4.5556469107688,-2.8609806856311e-004,
30.6,40.000015802369,40.000141478383,40.000112127556,250.,9.3109770630198,4.5555946402972,-2.1221757465022e-004,
30.9,40.000043153476,40.000068463998,40.000055302417,250.,9.3110262368576,4.5555644664272,-1.0269599683674e-004,
31.2,40.000061417328,40.000058432389,40.000059657861,250.,9.311005423196,4.5555465358896,-8.7648583163694e-005,
31.5,40.000014845841,40.000050741843,40.000043568488,250.,9.3109828288543,4.5555294708097,-7.6112764992539e-005,
31.8,40.000008706851,40.000026720375,40.000020421443,250.,9.3109957816177,4.5555179310904,-4.0080563055155e-005,
32.1,40.000019847531,40.00001831809,40.000018116764,250.,9.3109958289739,4.5555116530544,-2.74771349142e-005,
32.4,40.000008703708,40.000017185459,40.000015756015,250.,9.3109866612476,4.5555062197183,-2.5778188950042e-005,
32.7,40.000002155297,40.000010403401,40.000008031694,250.,9.3109884110845,4.5555020080928,-1.5605101010888e-005,
33.,40.00000566385,40.000006086308,40.000005609518,250.,9.3109902404358,4.5554996849488,-9.1294618056477e-006,
33.3,40.000003969131,40.000005589537,40.000005354885,250.,9.3109875141458,4.5554979492257,-8.3843056659652e-006,
33.6,40.000000899433,40.000003915535,40.000003161533,250.,9.3109870902962,4.5554964817996,-5.8733031032666e-006,
33.9,40.000001471578,40.000002160603,40.000001843797,250.,9.310987970017,4.5554956054609,-3.2409048887736e-006,
34.2,40.000001530348,40.00000178699,40.000001739662,250.,9.3109873869752,4.55549503373,-2.6804847515418e-006,
34.5,40.000000474006,40.000001409682,40.000001201547,250.,9.3109869674954,4.555494541009,-2.1145226052282e-006,
34.8,40.000000371762,40.000000801316,40.000000651727,250.,9.3109872263328,4.5554942141536,-1.2019743921765e-006,
35.1,40.000000519848,40.000000577036,40.000000553255,250.,9.3109871688,4.5554940171771,-8.6555409242541e-007,
35.4,40.000000234128,40.000000486626,40.000000435536,250.,9.3109869805337,4.5554938552365,-7.2993941563422e-007,
35.7,40.00000010429,40.000000300342,40.00000024232,250.,9.3109870228086,4.5554937366607,-4.5051281112186e-007,
36.,40.000000160008,40.000000192616,40.000000177269,250.,9.3109870432258,4.555493666075,-2.8892421257241e-007,
36.3,40.000000101938,40.000000162751,40.000000150859,250.,9.3109869817961,4.5554936129616,-2.4412715050879e-007,
36.6,40.00000003669,40.000000110906,40.000000091387,250.,9.3109869762345,4.5554935712967,-1.6635883073424e-007,
36.9,40.000000046043,40.000000067048,40.00000005874,250.,9.3109869904145,4.5554935454933,-1.0057205202982e-007,
