t,YA1,YA2,YA3,YA4,YA5,YA6,YA7,YA8,
52.,0.80868124944457,0.76114218269261,0.70824004276195,0.65010083702789,0.58675696607351,0.51776193204577,0.44115984899763,0.34958964728333,
53.,0.80790568280056,0.76022533078847,0.70719661554607,0.64895765255314,0.58555400248796,0.51655297920268,0.44001258514114,0.34858199053996,
54.,0.80712543638936,0.75930385504273,0.70614871174353,0.64781022761821,0.5843470913002,0.51534036182137,0.43886182567572,0.34757074848098,
55.,0.80634023021563,0.75837740591044,0.70509593665943,0.64665815531092,0.5831358538635,0.51412377593146,0.43770739311649,0.3465559392848,
56.,0.80554980939094,0.75744566495429,0.70403793077242,0.64550106519731,0.58191994572281,0.51290294511506,0.4365491257969,0.34553757834767,
57.,0.80475394071173,0.756508340922,0.70297436552699,0.64433861912291,0.58069905279467,0.51167761750234,0.43538687618027,0.34451567857149,
58.,0.80395240968684,0.75556516631334,0.70190493963218,0.64317050750527,0.57947288798438,0.51044756310466,0.43422050935805,0.34349025062227,
59.,0.80314501795567,0.75461589437511,0.70082937580433,0.64199644605892,0.57824118818904,0.50921257144626,0.43304990171353,0.34246130316229,
60.,0.80233158104556,0.75366029646967,0.69974741789957,0.64081617290126,0.5770037116414,0.50797244946029,0.43187493973234,0.34142884305895,
61.,0.80151192642322,0.75269815976988,0.6986588283883,0.63962944599354,0.57576023555442,0.50672701961872,0.43069551894309,0.34039287557257,
62.,0.80068589180143,0.75172928523888,0.69756338612954,0.63843604087721,0.57451055403176,0.50547611826936,0.42951154297377,0.33935340452554,
63.,0.79985332366682,0.7507534858586,0.6964608844086,0.63723574867038,0.57325447621291,0.50421959415657,0.42832292271067,0.33831043245463,
64.,0.79901407599937,0.74977058507545,0.69535112920578,0.63602837429343,0.57199182462611,0.50295730710443,0.42712957554861,0.33726396074846,
65.,0.79816800915797,0.74878041543558,0.69423393766801,0.63481373489677,0.57072243372474,0.50168912684442,0.42593142472226,0.33621398977133,
66.,0.79731498890987,0.74778281738581,0.69310913675857,0.63359165846682,0.56944614858627,0.50041493197094,0.42472839870957,0.33516051897526,
67.,0.79645488558479,0.74677763821926,0.69197656206353,0.63236198258932,0.56816282375505,0.4991346090106,0.42352043069949,0.33410354700109,
68.,0.79558757333702,0.74576473114732,0.69083605673575,0.63112455335147,0.56687232221253,0.49784805159241,0.42230745811675,0.33304307176999,
